# auto-mode denial manifest v1 | window 2026-07-26..2026-08-09 UTC (entry timestamps)
# source: ~/.cat-code/projects/**/*.jsonl tool_result marker "Permission for this action has been denied. Reason:"
# no commands or reason text: cmd_sha1/reason_sha1 are 12-char sha1 prefixes
transcript	ts	tool	category	cmd_sha1	reason_sha1
27093454-599b-4f8c-9466-156e27904cb7.jsonl	2026-08-09T08:25:44.872000+00:00	Bash	other	57a82621feb1	8c2a133ac974
b88d43cf-3d6f-47a1-a5bc-8446ea98c776.jsonl	2026-08-09T08:26:16.588000+00:00	Bash	gui-external	186c3b9378ba	1c482bab9146
agent-acompact-1710cdf894fe9aad.jsonl	2026-08-09T08:26:16.588000+00:00	Bash	gui-external	186c3b9378ba	1c482bab9146
b88d43cf-3d6f-47a1-a5bc-8446ea98c776.jsonl	2026-08-09T08:26:16.588000+00:00	Bash	gui-external	186c3b9378ba	1c482bab9146
b88d43cf-3d6f-47a1-a5bc-8446ea98c776.jsonl	2026-08-09T08:26:37.325000+00:00	Bash	other	186c3b9378ba	00f28fb05002
agent-acompact-1710cdf894fe9aad.jsonl	2026-08-09T08:26:37.325000+00:00	Bash	other	186c3b9378ba	00f28fb05002
b88d43cf-3d6f-47a1-a5bc-8446ea98c776.jsonl	2026-08-09T08:26:37.325000+00:00	Bash	other	186c3b9378ba	00f28fb05002
bfa8253c-e087-4d0b-a8a5-a435ba5ad001.jsonl	2026-08-09T09:19:32.582000+00:00	Read	process-kill	b5c436f65781	86e074e322d8
bfa8253c-e087-4d0b-a8a5-a435ba5ad001.jsonl	2026-08-09T09:19:32.582000+00:00	Read	process-kill	b5c436f65781	86e074e322d8
bfa8253c-e087-4d0b-a8a5-a435ba5ad001.jsonl	2026-08-09T09:20:18.865000+00:00	Bash	process-kill	09d31080eb8e	1391517ef167
bfa8253c-e087-4d0b-a8a5-a435ba5ad001.jsonl	2026-08-09T09:20:18.865000+00:00	Bash	process-kill	09d31080eb8e	1391517ef167
bfa8253c-e087-4d0b-a8a5-a435ba5ad001.jsonl	2026-08-09T09:21:57.025000+00:00	Read	secrets	19b088e56529	f49eb75b2c26
bfa8253c-e087-4d0b-a8a5-a435ba5ad001.jsonl	2026-08-09T09:21:57.025000+00:00	Read	secrets	19b088e56529	f49eb75b2c26
bfa8253c-e087-4d0b-a8a5-a435ba5ad001.jsonl	2026-08-09T09:22:05.338000+00:00	Read	outside-workdir	eb4d003e6bec	66e3bea34a43
bfa8253c-e087-4d0b-a8a5-a435ba5ad001.jsonl	2026-08-09T09:22:05.338000+00:00	Read	outside-workdir	eb4d003e6bec	66e3bea34a43
bfa8253c-e087-4d0b-a8a5-a435ba5ad001.jsonl	2026-08-09T09:22:05.343000+00:00	Read	outside-workdir	6479aadff3d8	66e3bea34a43
bfa8253c-e087-4d0b-a8a5-a435ba5ad001.jsonl	2026-08-09T09:22:05.343000+00:00	Read	outside-workdir	6479aadff3d8	66e3bea34a43
bfa8253c-e087-4d0b-a8a5-a435ba5ad001.jsonl	2026-08-09T09:23:58.536000+00:00	Bash	gui-external	282546e759aa	c4c50401dce7
bfa8253c-e087-4d0b-a8a5-a435ba5ad001.jsonl	2026-08-09T09:23:58.536000+00:00	Bash	gui-external	282546e759aa	c4c50401dce7
agent-a599a9bde808e8d65.jsonl	2026-08-09T09:24:04.186000+00:00	Read	gui-external	b7d71e1f8888	2c73e2965ba3
bfa8253c-e087-4d0b-a8a5-a435ba5ad001.jsonl	2026-08-09T09:25:39.525000+00:00	Read	outside-workdir	b7591488415b	96c849aa4a90
bfa8253c-e087-4d0b-a8a5-a435ba5ad001.jsonl	2026-08-09T09:25:39.525000+00:00	Read	outside-workdir	b7591488415b	96c849aa4a90
3eda1c84-8702-4f76-a8bf-634f48a4323d.jsonl	2026-08-09T09:26:21.176000+00:00	Bash	outside-workdir	c3381c1b378d	8c84a5a2d206
3eda1c84-8702-4f76-a8bf-634f48a4323d.jsonl	2026-08-09T09:26:21.176000+00:00	Bash	outside-workdir	c3381c1b378d	8c84a5a2d206
agent-a599a9bde808e8d65.jsonl	2026-08-09T09:27:04.789000+00:00	Bash	secrets	96e82e91e34c	14719773c18a
agent-a599a9bde808e8d65.jsonl	2026-08-09T09:29:16.093000+00:00	Bash	outside-workdir	1ed8830de0f6	1c2db3b656c3
